fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.70123,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.67995,0.01,0.01033,0.94346,0.001,3.00836,0.81472,8.04908,0.49551,1.49038,0.01199,0.70422,0.32163,0.0,0.09081,0.50082,0.0,0.0,0.0,0.49807,0.00793,1.0,0.0,0.0039,0.00171,10
0.65946,0.01,0.01,0.93791,0.001,2.13235,0.81014,6.91827,0.29502,1.49839,0.0063,0.69802,0.49782,5e-05,0.12927,0.49931,0.0,0.0,0.00065,0.50196,0.0,1.0,0.00233,0.0,0.00475,10
0.69986,0.01,0.01003,0.95958,0.00039,3.00188,0.80335,5.61238,0.50009,1.31614,0.01537,0.70085,0.31101,0.0,0.0967,0.50074,0.01104,0.0,0.0,0.46903,0.00533,1.0,0.0,0.00277,0.00148,10
0.64636,0.01,0.01,0.94688,0.001,3.00994,0.95,6.89158,0.49974,1.33485,0.01963,0.70366,0.39824,0.0,0.09166,0.45604,0.00209,0.001,0.0,0.49508,0.00255,1.0,0.01309,0.00198,0.00011,10
0.62831,0.00827,0.01,0.9503,0.001,5.0,0.81435,7.54353,0.32121,2.18683,0.00882,0.70226,0.44904,1e-05,0.11294,0.36339,0.00756,0.0,0.00018,0.47137,0.00498,0.90003,0.00194,0.0,0.0031,8
0.68699,0.00752,0.01002,0.93913,0.001,2.68258,0.77402,5.36455,0.3594,1.46316,0.01119,0.70424,0.43632,0.00077,0.10145,0.5838,0.00498,0.0,0.00409,0.47165,0.0,1.0,0.00522,0.0024,0.00176,10
0.65366,0.00805,0.01,0.84498,0.001,3.09561,0.95,6.31091,0.52071,1.69241,0.00721,0.76857,0.45913,0.0,0.12124,0.59459,0.00784,0.001,0.0,0.50683,0.00582,1.0,0.00126,0.00169,0.00197,10
0.6039,0.00949,0.01138,0.87502,0.00069,3.12268,0.84859,8.05567,0.34662,1.64371,0.01462,0.70141,0.36094,0.0,0.12079,0.48591,0.00108,0.00096,0.00476,0.65394,0.00427,0.99737,0.00138,0.00324,0.00012,10
0.61408,0.01,0.01108,0.85071,0.001,3.11305,0.77504,7.19184,0.2944,2.0161,0.01827,0.70259,0.29351,0.0,0.08818,0.24041,0.0,0.00073,0.00029,0.50046,0.00555,0.88608,0.00631,0.0011,0.00017,10
0.64921,0.00673,0.0105,0.96252,0.00098,2.63491,0.73073,7.15265,0.25814,1.46773,0.0091,0.70101,0.34624,0.0,0.13262,0.53471,0.0,0.001,0.00098,0.46455,0.00432,1.0,0.00569,0.00258,0.00041,10
0.64635,0.00673,0.01021,0.80147,0.00078,3.29053,0.83493,7.71301,0.55704,1.58635,0.00606,0.75256,0.41982,0.00081,0.11015,0.49837,0.00735,0.001,0.00062,0.41968,0.00534,0.91884,0.00181,0.00255,0.00416,7
0.64108,0.00811,0.01,0.87993,0.001,3.06944,0.90966,6.47608,0.52065,1.29035,0.01252,0.78498,0.45739,0.0061,0.09617,0.43902,0.00333,0.00099,0.00074,0.63306,0.0042,0.98704,0.00017,0.0,0.00317,10
