epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.20647,1.89635,4.28892,1.13235,0.00609,0.26726,0.04351,0.02455,1.8472,3.86197,0.99239,1.428e-05,1.428e-05,1.428e-05
2,1.4354,1.79678,4.09643,1.07559,0.00478,0.24365,0.03314,0.01875,1.84618,3.87549,1.00302,3.55588e-05,3.55588e-05,3.55588e-05
3,1.76498,1.92841,4.21471,1.14872,0.00633,0.27837,0.04319,0.02891,1.65389,3.87092,0.9597,5.66682e-05,5.66682e-05,5.66682e-05
4,2.24164,1.69142,4.11171,1.07575,0.00729,0.31032,0.05666,0.03937,1.43959,3.8456,0.91826,7.76081e-05,7.76081e-05,7.76081e-05
5,2.70957,1.57495,3.99776,1.04416,0.01166,0.5381,0.09703,0.06332,1.30866,3.79943,0.88391,9.83786e-05,9.83786e-05,9.83786e-05
6,3.15788,1.30326,3.66548,0.94655,0.01553,0.6631,0.10703,0.07336,1.32168,3.76965,0.87524,0.00011898,0.00011898,0.00011898
7,3.61256,1.38728,3.54776,0.9546,0.01453,0.72976,0.11187,0.07795,1.22695,3.75029,0.85099,0.000139411,0.000139411,0.000139411
8,4.03921,1.34379,3.40667,0.9319,0.01364,0.69087,0.13522,0.09769,1.19032,3.74464,0.84606,0.000159674,0.000159674,0.000159674
9,4.5411,1.39583,3.29826,0.96351,0.01379,0.72004,0.12953,0.09146,1.19387,3.71671,0.85093,0.000179766,0.000179766,0.000179766
10,5.00301,1.3692,3.04086,0.9588,0.01349,0.74325,0.13866,0.09744,1.17976,3.702,0.84897,0.00019969,0.00019969,0.00019969
11,5.4158,1.30632,2.81649,1.0116,0.01385,0.77183,0.13637,0.09068,1.18536,3.65776,0.85665,0.000219444,0.000219444,0.000219444
12,5.78151,1.23701,2.68022,0.95246,0.01413,0.78433,0.13844,0.09402,1.18499,3.59181,0.85875,0.000239028,0.000239028,0.000239028
13,6.14657,1.13515,2.56046,0.8934,0.01518,0.82599,0.1466,0.09992,1.1163,3.45692,0.83212,0.000258443,0.000258443,0.000258443
14,6.59601,1.43151,2.62014,0.96985,0.01549,0.85099,0.17212,0.11813,1.11587,3.42048,0.83823,0.000277689,0.000277689,0.000277689
15,7.03759,1.23039,2.85167,0.94337,0.68207,0.06388,0.1924,0.12506,1.25717,3.33313,0.86586,0.000296765,0.000296765,0.000296765
16,7.50654,1.29057,2.34009,0.93828,0.27255,0.34464,0.22046,0.14641,1.21632,3.29515,0.8586,0.000315672,0.000315672,0.000315672
17,7.89255,1.2808,2.47272,1.0085,0.01959,0.9875,0.25536,0.17902,1.1891,3.28692,0.85837,0.000334409,0.000334409,0.000334409
18,8.29403,1.25524,2.20729,0.93937,0.02048,1,0.28207,0.19293,1.1966,3.24563,0.85935,0.000352977,0.000352977,0.000352977
19,8.70717,1.12322,2.23751,0.89848,0.02056,1,0.30925,0.20823,1.16542,3.17461,0.85727,0.000371376,0.000371376,0.000371376
20,9.10792,1.25741,2.27608,0.96608,0.54861,0.17821,0.32397,0.21933,1.17153,3.10764,0.87003,0.000389605,0.000389605,0.000389605
21,9.484,1.27808,2.16532,0.97384,0.29428,0.40615,0.31842,0.21982,1.12838,3.0607,0.88064,0.000407664,0.000407664,0.000407664
22,9.87899,1.25899,2.15659,0.93167,0.0936,0.8334,0.3245,0.22683,1.10835,3.05263,0.87848,0.000425555,0.000425555,0.000425555
23,10.347,1.22293,1.94249,0.9023,0.46054,0.24742,0.3242,0.21973,1.13121,3.06207,0.87822,0.000443275,0.000443275,0.000443275
24,10.7252,1.30483,2.28876,1.01874,0.01864,0.98889,0.33782,0.21904,1.14627,3.08899,0.87876,0.000460827,0.000460827,0.000460827
25,11.0975,1.18633,2.05782,0.94787,0.01814,0.97778,0.33807,0.23652,1.12676,3.1166,0.88294,0.000478209,0.000478209,0.000478209
26,11.5852,1.31029,2.17519,0.99541,0.0179,0.94306,0.32624,0.23576,1.12974,3.13268,0.89346,0.000495421,0.000495421,0.000495421
27,12.051,1.2904,2.11619,0.98604,0.91744,0.11521,0.38072,0.27511,1.14225,3.02978,0.90084,0.000512464,0.000512464,0.000512464
28,12.619,1.14936,1.81439,0.93737,0.95737,0.09597,0.42639,0.2969,1.15748,2.8694,0.90692,0.000529338,0.000529338,0.000529338
29,13.0188,1.16091,1.94112,0.95272,0.95737,0.09597,0.42639,0.2969,1.15748,2.8694,0.90692,0.000546042,0.000546042,0.000546042
