epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78768,1.66573,4.30604,1.16375,0.00611,0.26726,0.04002,0.02019,1.67861,3.92248,1.01862,1.428e-05,1.428e-05,1.428e-05
2,2.05778,1.65727,4.12436,1.15555,0.00481,0.24365,0.03201,0.01958,1.68305,3.9304,1.02816,3.55586e-05,3.55586e-05,3.55586e-05
3,2.37875,1.80583,4.27979,1.21396,0.00623,0.27976,0.05621,0.03747,1.54839,3.90463,0.99012,5.66676e-05,5.66676e-05,5.66676e-05
4,2.79943,1.35324,4.10373,1.03204,0.01003,0.4756,0.09722,0.06775,1.40564,3.88167,0.94941,7.76069e-05,7.76069e-05,7.76069e-05
5,3.22982,1.25741,4.02549,0.98303,0.01236,0.4381,0.11402,0.07454,1.31252,3.87414,0.92284,9.83766e-05,9.83766e-05,9.83766e-05
6,3.65677,1.35637,3.60567,1.03484,0.01318,0.47143,0.11636,0.0791,1.32235,3.88041,0.92531,0.000118977,0.000118977,0.000118977
7,4.06291,1.21822,3.54951,0.97171,0.01409,0.5506,0.13095,0.09254,1.26051,3.85654,0.91233,0.000139407,0.000139407,0.000139407
8,4.45593,1.21387,3.35125,0.94752,0.01457,0.60893,0.1206,0.08559,1.18177,3.81798,0.88847,0.000159668,0.000159668,0.000159668
9,4.81825,1.27365,3.29915,1.00853,0.01535,0.78849,0.12767,0.09349,1.07539,3.76128,0.86448,0.000179759,0.000179759,0.000179759
10,5.20377,1.1628,2.94194,0.98585,0.01469,0.77599,0.13195,0.0947,1.10252,3.75234,0.87023,0.00019968,0.00019968,0.00019968
11,5.61043,1.11601,2.80129,0.94949,0.01427,0.77599,0.13516,0.0881,1.15081,3.69929,0.89097,0.000219432,0.000219432,0.000219432
12,5.93234,1.19783,2.97683,0.99841,0.01518,0.80516,0.13039,0.08667,1.08774,3.64243,0.87817,0.000239014,0.000239014,0.000239014
13,6.31237,1.18176,2.6294,0.98264,0.01628,0.85516,0.17528,0.11938,1.08787,3.56397,0.88417,0.000258427,0.000258427,0.000258427
14,6.73312,1.15531,2.58442,0.95323,0.01736,0.88849,0.19586,0.12815,1.06913,3.51483,0.88386,0.00027767,0.00027767,0.00027767
15,7.16807,1.08568,2.44912,1.01773,0.01807,0.9496,0.23816,0.15194,1.06906,3.42707,0.88489,0.000296743,0.000296743,0.000296743
16,7.58982,1.17281,2.44254,0.93653,0.01793,0.9496,0.28207,0.18934,1.06174,3.41408,0.88417,0.000315647,0.000315647,0.000315647
17,8.02002,1.04645,2.28609,0.97007,0.01804,0.96528,0.32802,0.22806,1.05194,3.36481,0.88597,0.00033438,0.00033438,0.00033438
18,8.44239,1.1552,2.33972,0.97701,0.01848,0.98889,0.319,0.22183,1.0555,3.32817,0.88998,0.000352945,0.000352945,0.000352945
19,8.81852,1.16886,2.30178,0.98018,0.01875,1,0.33735,0.23859,1.0439,3.27342,0.90175,0.000371339,0.000371339,0.000371339
20,9.23949,1.02214,2.10236,0.92794,0.69875,0.11636,0.36046,0.25079,1.03625,3.21363,0.91015,0.000389564,0.000389564,0.000389564
