epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.20681,1.32419,8.61171,1.08283,0.0063,0.27282,0.0382,0.02097,1.41793,7.9253,0.99817,1.428e-05,1.428e-05,1.428e-05
2,1.50535,1.22084,8.14012,0.99948,0.00591,0.28393,0.04593,0.02814,1.31563,7.88919,0.9725,3.55586e-05,3.55586e-05,3.55586e-05
3,1.85984,1.39335,8.33557,1.12904,0.00752,0.43393,0.06897,0.04745,1.09029,7.82413,0.90454,5.66676e-05,5.66676e-05,5.66676e-05
4,2.19496,0.97122,7.80598,0.93566,0.01073,0.55476,0.08866,0.05911,0.94144,7.79488,0.86518,7.7607e-05,7.7607e-05,7.7607e-05
5,2.54026,0.92853,7.46831,0.92317,0.01274,0.65476,0.1137,0.07213,0.90454,7.74895,0.85256,9.83767e-05,9.83767e-05,9.83767e-05
6,2.85831,0.95612,6.62569,0.92536,0.01462,0.69266,0.12807,0.08346,0.90707,7.70854,0.853,0.000118977,0.000118977,0.000118977
7,3.17097,0.97116,7.41125,0.969,0.01626,0.76944,0.15241,0.10081,0.90718,7.65774,0.85002,0.000139407,0.000139407,0.000139407
8,3.50166,1.01204,6.26748,0.96057,0.01642,0.75516,0.16678,0.11248,0.91778,7.63354,0.8526,0.000159668,0.000159668,0.000159668
9,3.83976,1.03301,6.42449,0.93375,0.01538,0.74405,0.16628,0.11028,0.91473,7.60648,0.85946,0.000179759,0.000179759,0.000179759
10,4.30158,1.02834,5.9403,0.98958,0.01563,0.79405,0.16177,0.10469,0.90108,7.54215,0.85369,0.000199681,0.000199681,0.000199681
11,4.58811,0.9636,5.42171,0.95371,0.01549,0.81944,0.17457,0.11821,0.88149,7.35821,0.84488,0.000219432,0.000219432,0.000219432
12,4.90685,0.94714,5.19392,0.92059,0.01528,0.81944,0.21081,0.14632,0.86743,7.24502,0.84161,0.000239015,0.000239015,0.000239015
13,5.23943,0.97284,5.14542,0.95945,0.01627,0.89722,0.24954,0.15606,0.87036,6.99196,0.8386,0.000258427,0.000258427,0.000258427
14,5.55607,0.95307,4.8881,0.98225,0.01706,0.90972,0.29089,0.18237,0.84975,6.83371,0.83538,0.00027767,0.00027767,0.00027767
